%SORTEO
@relation 'Sorteo videojuegos'

%ATRIBUTOS POR ORDEN DE APARICI�N EN LA DESCRIPCI�N
@attribute 'Producto Adquirido' {'Mass Effect 3', 'Crysis 3', 'Dead Space 3', 'Fifa 13', 'F1 2012', 'Battlefield 3', 'KOA: Reckoning', 'Sim City'}
@attribute Edad INTEGER
@attribute Sexo {Hombre, Mujer}
@attribute Plataforma {PC, 'Xbox 360', PS3, Otros}
@attribute 'Consumidor habitual' {TRUE, FALSE}
@attribute Presupuesto NUMERIC

%DATOS DE LOS PARTICIPANTES
@data
'Mass Effect 3', 29, Mujer, PC, TRUE, 200
'Sim City', ?, Mujer, Otros, TRUE, 600
'Dead Space 3', 22, Hombre, 'Xbox 360', FALSE, 200
'Battlefield 3', 28, Mujer, 'Xbox 360', TRUE, 370
'KOA: Reckoning', 30, Mujer, PC, ?, 100
'Crysis 3', 17, Hombre, PS3, FALSE, 300
'Mass Effect 3', 33, Hombre, Otros, FALSE, 20
'Battlefield 3', 52, Hombre, PC, TRUE, 900
'Mass Effect 3', 21, Hombre, PS3, TRUE, 500
'Fifa 13', 14, Hombre, PS3, TRUE, 175
'F1 2012', 34, Hombre, PS3, TRUE, 1200
'Crysis 3', 30, Hombre, PC, FALSE, 60
'Dead Space 3', 31, Hombre, PS3, TRUE, 0
'Sim City', 37, Mujer, PC, FALSE, 100
'Fifa 13', 25, Hombre, PS3, TRUE, ?
'Mass Effect 3', 24, Mujer, 'Xbox 360', TRUE, 900
'Fifa 13', 16, Mujer, PC, TRUE, 250
'Mass Effect 3', 15, Hombre, PS3, TRUE, 150
'Crysis 3', 16, Mujer, 'Xbox 360', TRUE, 340
'KOA: Reckoning', 25, Hombre, PS3, TRUE, 100
'Battlefield 3', 26, Hombre, ?, FALSE, 70
'Mass Effect 3', 26, Hombre, PS3, FALSE, 50
'Sim City', 44, Hombre, PS3, TRUE,  230
'Battlefield 3', 39, Hombre, PS3, TRUE, 750
'KOA: Reckoning', 17, Mujer, PS3, TRUE, 150
'Fifa 13', 37, Hombre, 'Xbox 360', FALSE, 30
'F1 2012', 19, Hombre, PC, FALSE, 0
'KOA: Reckoning', 22, Mujer, PC, FALSE, 0
'Mass Effect 3', 19, Hombre, ?, FALSE, 0
'Dead Space 3', 18, Mujer, PS3, TRUE, 420
'Mass Effect 3', 24, Hombre, PC, TRUE, 300
'KOA: Reckoning', 33, Hombre, 'Xbox 360', TRUE, 400
'Crysis 3', 21, Hombre, Otros, TRUE, 100
'F1 2012', 21, Mujer, PS3, TRUE, 500
'KOA: Reckoning', 33, Hombre, PC, FALSE, 100
'Sim City', 26, Mujer, 'Xbox 360', TRUE, 400
'Fifa 13', 15, Hombre, PC, FALSE, 100
'Fifa 13', 19, Hombre, Otros, TRUE, 400
'Mass Effect 3', 48, Hombre, PS3, TRUE, 950
'Mass Effect 3', 35, Mujer, 'Xbox 360', TRUE, 800
'Crysis 3', 36, Hombre, 'Xbox 360', TRUE, 320
'Dead Space 3', 51, Hombre, 'Xbox 360', TRUE, 200
